CROSSOVER TYPE, CROSSOVER POINTS, RUN, AVERAGE(FITNESS/(FITNESS OF BEST PARENT))

('n_points_crossover', 1, 1, 0.9747117380078182)
('n_points_crossover', 1, 2, 0.9752120641931806)
('n_points_crossover', 1, 3, 0.9813372169222552)
('n_points_crossover', 1, 4, 0.9881061963903985)
('n_points_crossover', 1, 5, 0.9861481215470921)
('n_points_crossover', 1, 6, 0.9856230171923591)
('n_points_crossover', 1, 7, 0.9818181987174555)
('n_points_crossover', 1, 8, 0.97885134511335)
('n_points_crossover', 1, 9, 0.9855309701963911)

('n_points_crossover', 2, 10, 0.982854855578203)
('n_points_crossover', 2, 11, 0.9730724056182012)
('n_points_crossover', 2, 12, 0.9767255097504652)
('n_points_crossover', 2, 13, 0.9874509185693404)
('n_points_crossover', 2, 14, 0.9779062249389705)
('n_points_crossover', 2, 15, 0.9792243296100073)
('n_points_crossover', 2, 16, 0.9748965829216182)
('n_points_crossover', 2, 17, 0.9849641811241125)
('n_points_crossover', 2, 18, 0.9736929533362675)
('n_points_crossover', 2, 19, 0.975280224520569)

('universal_crossover', 0, 20, 0.9933694938790587)
('universal_crossover', 0, 21, 0.97855599529701)
('universal_crossover', 0, 22, 0.9693411928381364)
('universal_crossover', 0, 23, 0.9847292308435696)
('universal_crossover', 0, 24, 0.976632082450445)
('universal_crossover', 0, 25, 0.9838177274455054)
('universal_crossover', 0, 26, 0.9833099117075342)
('universal_crossover', 0, 27, 0.9829739020789429)
('universal_crossover', 0, 28, 1.023517673565537)
('universal_crossover', 0, 29, 0.9820493481378264)
